Date,inflation rate,unemployment rate,Value of Private Residential Construction,Mortgage Interest Rate,"Percent change of total consumer credit, seasonally adjusted at an annual rate",Home Price Index
01-2012,2.93 % ,8.30%,251869,3.92,5.54,136.60700000000000
02-2012,2.87 % ,8.30%,247503,3.89,2.87,136.53100000000000
03-2012,2.65 % ,8.20%,252283,3.95,5.93,137.90500000000000
04-2012,2.30 % ,8.20%,258567,3.91,5.68,139.15500000000000
05-2012,1.70 % ,8.20%,263797,3.8,6.94,140.15500000000000
06-2012,1.66 % ,8.20%,269664,3.68,5.75,141.02900000000000
07-2012,1.41 % ,8.20%,273587,3.55,4.16,141.66800000000000
08-2012,1.69 % ,8.10%,279216,3.6,7.44,142.27800000000000
09-2012,1.99 % ,7.80%,286120,3.47,4.3,142.90800000000000
10-2012,2.16 % ,7.80%,294197,3.38,7.14,143.60200000000000
11-2012,1.76 % ,7.70%,296510,3.35,7.31,144.58700000000000
12-2012,1.74 %,7.90%,299101,3.35,4.32,145.50500000000000
01-2013,1.59 % ,8.00%,303792,3.41,6.94,146.84000000000000
02-2013,1.98 % ,7.70%,309078,3.53,7.74,147.77900000000000
03-2013,1.47 % ,7.50%,312083,3.57,4.35,149.96200000000000
04-2013,1.06 % ,7.60%,316537,3.45,4.95,151.52400000000000
05-2013,1.36 % ,7.50%,321706,3.54,5.99,152.86000000000000
06-2013,1.75 % ,7.50%,324770,4.07,5.42,154.20400000000000
07-2013,1.96 % ,7.30%,328388,4.37,5.82,155.61100000000000
08-2013,1.52 % ,7.20%,335690,4.46,6.11,156.97500000000000
09-2013,1.18 % ,7.20%,339977,4.49,6.87,158.23400000000000
10-2013,0.96 % ,7.20%,346273,4.19,6.72,159.24500000000000
11-2013,1.24 % ,6.90%,353317,4.26,4.65,160.07400000000000
12-2013,1.50 %,6.70%,360754,4.46,5.63,160.99900000000000
01-2014,1.58 % ,6.60%,367522,4.43,7.32,161.96200000000000
02-2014,1.13 % ,6.70%,364391,4.3,6.32,162.53100000000000
03-2014,1.51 % ,6.70%,370368,4.34,7.07,163.10100000000000
04-2014,1.95 % ,6.20%,375235,4.34,9.22,163.41500000000000
05-2014,2.13 % ,6.30%,377661,4.19,6.81,163.68300000000000
06-2014,2.07 % ,6.10%,371860,4.16,6.74,164.06700000000000
07-2014,1.99 % ,6.20%,371532,4.13,8.27,164.57600000000000
08-2014,1.70 % ,6.10%,373163,4.12,6,165.21600000000000
09-2014,1.66 % ,5.90%,381377,4.16,6.27,165.91000000000000
10-2014,1.66 % ,5.70%,385996,4.04,3.8,166.64800000000000
11-2014,1.32 % ,5.80%,392280,4,5.23,167.34200000000000
12-2014,0.76 %,5.60%,402301,3.86,10.02,168.07000000000000
01-2015,-0.09 % ,5.70%,405483,3.67,5,168.69900000000000
02-2015,-0.03 % ,5.50%,411534,3.71,6.6,169.15700000000000
03-2015,-0.07 % ,5.40%,412105,3.77,8.3,169.83800000000000
04-2015,-0.20 % ,5.40%,415354,3.67,7.73,170.33900000000000
05-2015,-0.04 % ,5.60%,423855,3.84,5.97,170.91400000000000
06-2015,0.12 % ,5.30%,432084,3.98,9.79,171.47400000000000
07-2015,0.17 % ,5.20%,437549,4.05,6.41,172.12600000000000
08-2015,0.20 % ,5.10%,438637,3.91,4.67,172.93300000000000
09-2015,-0.04 % ,5.00%,446379,3.89,9.36,173.83600000000000
10-2015,0.17 % ,5.00%,448718,3.8,5.03,174.80900000000000
11-2015,0.50 % ,5.10%,447590,3.94,5.94,175.76000000000000
12-2015,0.73 %,5.00%,454428,3.96,8.18,176.57400000000000
01-2016,1.37 % ,4.80%,458300,3.87,6.33,177.33700000000000
02-2016,1.02 % ,4.90%,459376,3.66,5.59,177.67600000000000
03-2016,0.85 % ,5.00%,472356,3.69,9.23,178.22000000000000
04-2016,1.13 % ,5.10%,469303,3.61,7.13,178.84200000000000
05-2016,1.02 % ,4.80%,468554,3.6,6.3,179.50000000000000
06-2016,1.00 % ,4.90%,472390,3.57,6.49,180.12300000000000
07-2016,0.83 % ,4.80%,475371,3.44,5.65,180.85400000000000
08-2016,1.06 % ,4.90%,478473,3.44,7.84,181.85600000000000
09-2016,1.46 % ,5.00%,480518,3.46,6.49,182.83600000000000
10-2016,1.64 % ,4.90%,497911,3.47,5.85,183.77100000000000
11-2016,1.69 % ,4.70%,504344,3.77,7.68,184.77200000000000
12-2016,2.07 %,4.70%,514603,4.2,4.46,185.72700000000000
01-2017,2.50 % ,4.70%,513586,4.15,4.99,186.85100000000000
02-2017,2.74 % ,4.60%,536522,4.17,5.98,187.34800000000000
03-2017,2.38 % ,4.40%,530177,4.2,4.76,188.10700000000000
04-2017,2.20 % ,4.50%,534992,4.05,4.49,188.90000000000000
05-2017,1.87 % ,4.40%,534302,4.01,5.02,189.78900000000000
06-2017,1.63 % ,4.30%,533206,3.9,5.74,190.61000000000000
07-2017,1.73 % ,4.30%,539722,3.97,4.62,191.49400000000000
08-2017,1.94 % ,4.40%,539160,3.88,2.5,192.68800000000000
09-2017,2.23 % ,4.20%,541370,3.81,3.51,193.76600000000000
10-2017,2.04 % ,4.10%,539543,3.9,6.92,194.79000000000000
11-2017,2.20 % ,4.20%,560127,3.92,9.3,195.90700000000000
12-2017,2.11 %,4.10%,568337,3.95,3.62,197.09700000000000
